((	Baix_Llobregat	4116	Otros	Industria	3.77	2.43	1.53	0.85	0.51	7.68	0.00	0.00	0.17	0.73	7.73	0.41	p140	SCOLOMACERVE	SCOLOMACERVE	))
((	Barcelones	120802	PSC	Servicios	0.15	0.05	0.00	0.03	0.03	0.13	0.00	0.01	0.00	0.06	0.09	0.02	p133	p128	p124	))
((	Alt_Penedes	728	PSC	Industria	1.10	0.00	0.00	0.14	0.41	0.00	0.00	0.00	0.41	0.00	0.14	0.00	p133	p128	p124	))
((	V_Occidental	50168	CiU	Servicios	2.81	0.00	0.20	0.60	0.24	0.89	0.05	0.00	0.09	0.29	1.05	0.25	p129	p128	p124	))
((	V_Occidental	5469	PSC	Industria	2.71	0.00	0.00	0.46	0.38	0.57	0.00	0.00	0.24	0.42	0.66	0.09	p129	p128	p124	))
((	V_Oriental	1363	CiU	Servicios	0.88	0.00	0.00	1.10	0.59	2.42	0.00	0.00	0.15	2.13	1.61	0.22	p136	p128	p123	))
((	Baix_Llobregat	4849	PSC	Industria	1.48	0.45	0.02	0.70	0.37	0.72	0.00	0.04	0.80	0.14	0.56	0.25	m11	m12	m12	))
((	V_Oriental	4365	CiU	Servicios	1.35	0.00	0.00	1.40	0.34	0.64	0.02	0.02	0.64	0.30	1.21	0.18	p133	p128	p124	))
((	V_Oriental	4179	CiU	Servicios	1.60	0.00	0.00	0.10	0.38	0.84	0.00	0.02	0.07	0.74	0.48	0.00	p133	p128	p124	))
((	Baix_Llobregat	36953	IC	Servicios	3.24	0.13	0.42	0.05	0.16	0.76	0.00	0.05	0.04	0.08	0.72	0.07	p132	r156	z9	))
((	Garraf	18546	PSC	Servicios	1.89	0.00	0.00	0.68	1.45	2.78	0.01	0.06	0.43	0.51	3.46	0.44	p129	p128	p124	))
((	Alt_Penedes	1502	PSC	Servicios	1.66	0.00	0.00	0.60	1.73	0.00	0.00	0.00	0.20	0.20	1.86	0.07	p133	p128	p124	))
((	V_Occidental	2027	ERC	Industria	0.54	0.00	0.00	0.64	0.20	0.00	0.00	0.00	0.39	0.20	0.20	0.05	p133	p128	p124	))
